,mouse_id,early,late,spheres
0,33,0.447599,0.616503,57.6435
1,41,0.3780265,0.438807,3259.67
2,63,0.5111733333333333,0.110589,4564.95
3,69,0.5800367000000001,0.224322,3787.27
4,83,2.07122,1.43887,105.84
5,85,0.892972,2.15267,1227.2
6,86,0.686044,0.9505885000000001,401.981
7,89,0.503747,1.33706,147.385
8,90,0.517275,1.84054,2081.68
9,91,0.948801,0.7880445,30.2646
10,93,0.815198,0.542593,164.044
11,95,1.28019,1.392595,71.252
12,108,1.74713,0.725825,55.616
13,110,0.238696,0.48664850000000004,61.8407
14,111,2.1828,1.2961900000000002,38.9562
15,112,1.8253,1.4613800000000001,224.147
16,113,0.823844,2.44591,249.409
17,114,1.98281,1.0791819999999999,323.075
18,115,2.10974,0.835196,41.1545
19,116,1.8561,1.17985,84.8064
20,121,0.93132,1.2015099999999999,256.04
21,122,1.47745,1.4188,18.5548
