,n0,n1,n2,n3,n0_r,n1_r,n2_r,n3_r,period,mouse_id,classes
10,3,276,66,5,0.8571428571428572,78.85714285714286,18.857142857142858,1.4285714285714286,early,69_1,"[1 1 1 2 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 2 1 1 1 1 1 2 1 1 1
 1 1 2 1 1 1 1 1 1 2 2 1 1 1 1 2 1 1 2 1 1 2 1 1 1 1 1 1 1 2 2 2 1 2 1 2 1
 1 1 3 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 2 2 1 1 1 1 2 2 2 3 1 1 1 1 1 1
 1 1 1 2 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 2 2 0 1 2 1 1 1 1 1 1 2
 1 2 1 1 1 2 1 1 1 2 2 2 1 2 1 1 1 1 1 1 2 1 1 1 3 1 1 1 1 1 1 1 2 2 2 1 1
 1 1 1 1 2 1 1 1 1 1 2 2 1 2 1 1 1 1 2 1 2 1 2 1 1 1 1 1 1 2 1 2 1 1 1 1 1
 2 2 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 0 1 1 1 1 1 1 1 1 1 1 2 2 1 1
 1 3 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 2 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 2 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1
 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1]"
11,12,285,36,17,3.428571428571429,81.42857142857143,10.285714285714285,4.857142857142857,late,69_1,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 3 1 3 1 1 1
 1 3 2 1 1 2 1 1 1 1 2 1 1 1 1 1 1 0 1 1 1 1 1 1 2 2 1 1 1 1 1 3 1 1 1 2 1
 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 1 1 1 2
 1 1 1 2 1 1 2 1 1 1 2 1 1 1 3 1 1 1 1 1 1 1 2 2 1 3 1 2 1 1 1 1 0 1 1 1 1
 1 1 3 1 2 2 3 1 2 1 2 1 1 1 1 2 1 1 2 1 1 1 2 3 1 1 1 1 1 1 1 1 2 1 2 1 1
 1 1 1 1 1 0 2 1 1 1 2 1 1 1 2 1 3 1 1 1 3 1 1 1 1 2 2 1 1 1 1 1 1 1 1 2 1
 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 3 1 1 3 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1
 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1
 1 3 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0
 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 2 1]"
12,1,247,11,11,0.3703703703703704,91.48148148148148,4.074074074074074,4.074074074074074,pre,83_1,"[1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1
 1 1 2 1 1 1 1 1 1 1 1 1 1 3 1 3 1 1 1 2 1 3 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 3 1 1 3 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 2 1
 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2
 1 1 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1]"
13,14,244,9,3,5.185185185185185,90.37037037037037,3.3333333333333335,1.1111111111111112,early,83_1,"[1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 3 1 1 1 1 2 1
 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 3 0 1 1 1 1 1 1 0 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 2 1 1 1 1 1 1 1 1 0 2
 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 2 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 0 0 1 1 0 1]"
14,2,202,23,43,0.7407407407407408,74.81481481481481,8.518518518518519,15.925925925925927,late,83_1,"[1 1 1 1 1 1 1 1 1 2 1 1 2 3 1 3 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 2 2 3
 3 1 1 1 1 1 1 1 1 1 3 1 1 1 1 2 3 1 1 1 3 1 1 3 1 1 1 1 1 1 1 1 1 1 3 2 1
 1 1 1 1 1 3 1 1 1 3 1 2 1 3 1 1 1 1 3 1 1 1 1 3 1 1 1 1 1 1 1 1 3 1 1 3 1
 1 1 2 2 1 3 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 2 1 3 3 1 3 1 1 1 1 1 3
 1 2 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 2 1 1 3 2 1 3 1 1 1 3 3 3 1 1 2 1 3 1 0
 1 3 1 1 1 1 1 1 1 1 1 0 1 1 1 1 3 1 1 2 1 1 2 3 1 3 1 1 1 1 1 1 1 1 1 1 1
 3 2 3 3 1 1 1 1 1 1 1 3 3 1 2 1 1 1 1 1 2 1 1 3 1 2 3 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 2 1 1 3 3]"
15,51,168,16,15,20.4,67.2,6.4,6.0,pre,85_1,"[1 1 1 1 1 1 1 1 1 1 1 1 1 3 0 2 1 0 1 1 1 1 1 1 0 0 1 1 1 3 1 2 3 1 1 1 3
 0 1 2 1 2 1 1 2 0 1 2 0 0 1 3 2 1 1 1 3 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1
 1 2 1 2 2 1 0 1 2 1 1 1 1 1 2 0 1 3 0 0 1 0 1 0 1 1 1 3 3 1 2 1 1 1 0 1 1
 0 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 0 0 1 0 0 0 1 0 1 1 1 1 1 3 1 1 1 2 0
 0 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 3 0 1 1 1 1 1 1 1 0 3 2 1 1
 1 1 2 0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 3 1 1 1 1 1 1
 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
16,70,180,0,0,28.000000000000004,72.0,0.0,0.0,early,85_1,"[1 1 0 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 0 1
 1 1 1 1 1 1 1 1 0 1 1 1 0 0 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1
 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1
 1 1 0 0 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 0 1 1 1
 1 0 0 1 0 1 0 1 0 0 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 0 1 0 0 0 1 0 1 1 1 1
 1 1 1 1 1 1 0 0 0 0 0 1 1 1 1 0 0 1 1 1 0 0 1 1 0 1 1 0 1 1 1 1 0 1 1 0 1
 1 1 0 0 1 0 0 0 0 0 1 0 1 1 1 1 0 1 0 1 1 0 0 0 1 1 1 0]"
17,16,174,25,35,6.4,69.6,10.0,14.000000000000002,late,85_1,"[1 1 1 1 1 1 1 1 3 1 1 1 1 2 1 3 3 1 1 1 1 3 1 1 1 3 2 2 1 1 1 1 1 1 1 1 2
 0 1 1 3 1 1 1 1 1 1 1 1 1 3 2 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 2 3 1 3 1 1
 0 1 1 1 3 3 1 3 1 1 1 1 1 0 1 1 1 1 1 3 1 1 1 3 1 1 1 3 1 1 2 3 2 1 2 1 2
 3 1 2 1 1 1 1 3 2 0 1 2 3 3 1 1 1 1 1 1 1 1 1 0 1 3 3 1 1 1 1 1 1 0 1 1 1
 0 1 3 1 3 0 1 1 2 1 3 1 1 1 3 1 1 2 3 1 1 0 3 1 1 1 1 3 1 3 2 2 2 3 2 1 1
 1 1 1 1 1 1 1 1 1 1 0 1 1 1 3 1 1 1 1 1 1 1 1 2 0 1 1 1 1 1 1 1 1 2 1 3 1
 1 1 3 1 1 0 1 0 0 1 3 0 1 1 1 2 1 1 1 1 1 2 1 0 1 1 1 1]"
18,13,44,15,14,15.11627906976744,51.162790697674424,17.441860465116278,16.27906976744186,pre,86_1,"[3 1 2 3 2 1 3 1 1 2 0 3 2 2 2 1 3 0 1 1 1 2 1 3 1 3 1 2 1 1 3 2 2 1 1 1 1
 0 1 1 1 2 2 1 1 1 3 1 1 1 3 1 0 0 1 0 3 1 2 2 3 1 0 1 2 1 3 1 1 1 1 0 0 1
 3 0 1 1 1 1 1 1 1 0 0 0]"
19,36,50,0,0,41.86046511627907,58.139534883720934,0.0,0.0,early,86_1,"[1 1 1 1 1 1 0 1 0 0 1 1 0 1 0 1 1 1 1 0 1 1 0 0 0 1 1 1 1 0 1 0 0 0 1 0 0
 0 1 1 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 1 1 1 0 1 0 1 1 0 1 0 0
 1 1 0 0 0 1 1 0 0 0 1 0]"
