,mouse_id,days,rel_days,rel_sess,metric,perf,perf_norm
77,41,2020-08-20,-5,-2,blr,0.9407171010971069,0.9908504031051046
78,41,2020-08-21,-4,-1,blr,0.953885555267334,1.0047206390215384
79,41,2020-08-24,-1,0,blr,0.9536086320877075,1.004428957873357
80,41,2020-08-26,1,1,blr,0.0625,0.06583079027886878
81,41,2020-08-27,2,2,blr,0.4538544714450836,0.47804157642925016
82,41,2020-08-30,5,3,blr,0.27313482761383057,0.2876909048720169
83,41,2020-09-02,8,4,blr,0.17121848464012146,0.1803431704673528
84,41,2020-09-05,11,5,blr,0.5054520964622498,0.5323889753315346
85,41,2020-09-08,14,6,blr,0.25374504923820496,0.267267793931224
86,41,2020-09-11,17,7,blr,0.3029448986053467,0.3190896333782679
87,41,2020-08-10,-15,-9,dist,6.244900226593018,25.51419578486597
88,41,2020-08-11,-14,-8,dist,3.6580772399902344,14.9454587760791
89,41,2020-08-12,-13,-7,dist,3.283275604248047,13.414167327403502
90,41,2020-08-13,-12,-6,dist,2.3140735626220703,9.454390589925044
91,41,2020-08-14,-11,-5,dist,0.6308910250663757,2.577571546125411
92,41,2020-08-18,-7,-4,dist,0.8280442357063293,3.3830616954255204
93,41,2020-08-19,-6,-3,dist,0.0831688642501831,0.3397951302164819
94,41,2020-08-20,-5,-2,dist,0.2606934905052185,1.0650906363990043
95,41,2020-08-21,-4,-1,dist,0.25822651386260986,1.055011544216206
96,41,2020-08-24,-1,0,dist,0.21536536514759064,0.87989781938479
97,41,2020-08-26,1,1,dist,18.399999618530273,75.17513101482501
98,41,2020-08-27,2,2,dist,5.801210880279541,23.70145635929516
99,41,2020-08-30,5,3,dist,11.793035507202148,48.18168520088365
100,41,2020-09-02,8,4,dist,,
101,41,2020-09-05,11,5,dist,5.40907096862793,22.099327563332366
102,41,2020-09-08,14,6,dist,12.556646347045898,51.30149748999824
103,41,2020-09-11,17,7,dist,10.827068328857422,44.235124837102184
104,41,2020-08-10,-15,-9,si,0.676662,0.6355115668598781
105,41,2020-08-11,-14,-8,si,0.728694,0.6843792997115132
106,41,2020-08-12,-13,-7,si,1.13238,1.0635155928377664
107,41,2020-08-13,-12,-6,si,0.460015,0.43203970878968645
108,41,2020-08-14,-11,-5,si,0.79759,0.7490854675033771
109,41,2020-08-18,-7,-4,si,0.99184,0.9315223737616439
110,41,2020-08-19,-6,-3,si,1.10798,1.0405994512022363
111,41,2020-08-20,-5,-2,si,0.952835,0.8948894186594369
112,41,2020-08-21,-4,-1,si,1.14516,1.0755183916124416
113,41,2020-08-24,-1,0,si,1.09626,1.0295921897281213
114,41,2020-08-26,1,1,si,0.231765,0.21767047402289422
115,41,2020-08-27,2,2,si,0.524288,0.4924040190905234
116,41,2020-08-30,5,3,si,0.437844,0.41121701304373004
117,41,2020-09-02,8,4,si,0.651071,0.611476854540417
