spheres,spheres_rel,spheres_lesion,spheres_lesion_rel,lesion_vol,lesion_vol_rel,spheres_extrap,spheres_rel_extrap,spheres_lesion_extrap,spheres_lesion_rel_extrap,region,mouse_id
39.0,0.08764044943820225,17.0,0.061371841155234655,0.032345320000000004,0.0019520056969397057,285.6787066812192,0.6419746217555488,124.52661573283913,0.4495545694326322,brainstem,41
17.0,0.07623318385650224,5.0,0.04310344827586207,0.0034235000000000003,0.0002066045877262331,93.55360621636198,0.41952289783121965,27.515766534224113,0.2372048839157251,brainstem,85
7.0,0.08235294117647059,0.0,0.0,0.0,0.0,33.104283221330505,0.3894621555450648,0.0,0.0,brainstem,86
1.0,0.03125,0.0,0.0,0.0,0.0,4.605790399690491,0.14393094999032785,0.0,0.0,brainstem,89
22.0,0.047722342733188726,8.0,0.03347280334728033,0.003437,0.00020741929838325197,99.3425330539701,0.215493564108395,36.12455747417094,0.15114877604255625,brainstem,90
1.0,0.14285714285714285,1.0,0.25,0.0,0.0,4.323520383236847,0.6176457690338352,4.323520383236847,1.0808800958092117,brainstem,91
1.0,0.02631578947368421,1.0,0.07142857142857142,0.0,0.0,4.316950506162447,0.11360396068848544,4.316950506162447,0.30835360758303193,brainstem,93
1.0,0.05555555555555555,,,,,3.089776547360095,0.1716542526311164,,,brainstem,108
1.0,0.05263157894736842,,,,,3.25477393967602,0.17130389156189577,,,brainstem,110
1.0,0.08333333333333333,,,,,3.2463527227160287,0.27052939355966904,,,brainstem,111
1.0,0.013888888888888888,,,,,3.1131505706404994,0.04323820237000694,,,brainstem,112
3.0,0.038461538461538464,,,,,9.592663530931544,0.12298286578117365,,,brainstem,113
4.0,0.14814814814814814,,,,,12.563918937595014,0.4653303310220376,,,brainstem,116
20.0,0.23255813953488372,,,,,59.54418923143338,0.6923742933887602,,,brainstem,121
0.0,0.0,,,,,0.0,0.0,,,brainstem,114
0.0,0.0,,,,,0.0,0.0,,,brainstem,115
0.0,0.0,,,,,0.0,0.0,,,brainstem,122
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brainstem,33
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brainstem,83
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brainstem,95
