spheres,spheres_rel,spheres_lesion,spheres_lesion_rel,lesion_vol,lesion_vol_rel,spheres_extrap,spheres_rel_extrap,spheres_lesion_extrap,spheres_lesion_rel_extrap,region,mouse_id
2.0,0.18181818181818182,0.0,0.0,0.0,0.0,10.48064225375731,0.9527856594324828,0.0,0.0,amygdala,33
10.0,0.02247191011235955,7.0,0.02527075812274368,0.01087008,0.004922263228202052,73.25095043108185,0.1646088773732176,51.27566530175729,0.18511070506049562,amygdala,41
10.0,0.04484304932735426,7.0,0.0603448275862069,0.0021568,0.0009766567799488306,55.031533068448226,0.24677817519483508,38.52207314791376,0.3320868374820152,amygdala,85
5.0,0.058823529411764705,2.0,0.08695652173913043,0.0017432,0.0007893676274141328,23.645916586664647,0.27818725396076055,9.45836663466586,0.41123333194199385,amygdala,86
4.0,0.125,2.0,0.2857142857142857,0.0,0.0,18.423161598761965,0.5757237999613114,9.211580799380982,1.315940114197283,amygdala,89
14.0,0.03036876355748373,6.0,0.02510460251046025,0.0190235,0.008614350080376752,63.21797557979915,0.13713226806897863,27.093418105628206,0.11336158203191718,amygdala,90
1.0,0.14285714285714285,0.0,0.0,0.0,0.0,4.323520383236847,0.6176457690338352,0.0,0.0,amygdala,91
2.0,0.05263157894736842,2.0,0.14285714285714285,0.0,0.0,8.633901012324895,0.22720792137697088,8.633901012324895,0.6167072151660639,amygdala,93
1.0,0.0625,0.0,0.0,0.0,0.0,4.453251987263699,0.2783282492039812,0.0,0.0,amygdala,95
4.0,0.21052631578947367,,,,,13.01909575870408,0.6852155662475831,,,amygdala,110
2.0,0.027777777777777776,,,,,6.226301141280999,0.08647640474001388,,,amygdala,112
5.0,0.0641025641025641,,,,,15.987772551552574,0.2049714429686227,,,amygdala,113
9.0,0.1,,,,,32.30751006019966,0.35897233400221845,,,amygdala,114
1.0,0.08333333333333333,,,,,3.4295434591747145,0.2857952882645595,,,amygdala,115
2.0,0.023255813953488372,,,,,5.954418923143338,0.06923742933887603,,,amygdala,121
0.0,0.0,,,,,0.0,0.0,,,amygdala,108
0.0,0.0,,,,,0.0,0.0,,,amygdala,111
0.0,0.0,,,,,0.0,0.0,,,amygdala,116
0.0,0.0,,,,,0.0,0.0,,,amygdala,122
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,amygdala,83
4.0,0.36363636363636365,0.0,0.0,0.0,0.0,20.96128450751462,1.9055713188649657,0.0,0.0,cortex,33
245.0,0.550561797752809,172.0,0.6209386281588448,0.25902696,0.005542936380561083,1794.6482855615052,4.032917495643832,1259.9163474146078,4.54843446720075,cortex,41
16.0,0.7272727272727273,2.0,0.5,0.0248248,0.0005312276647193512,76.9748869431348,3.4988584974152186,9.62186086789185,2.4054652169729627,cortex,83
128.0,0.5739910313901345,65.0,0.5603448275862069,0.08122750000000001,0.001738193062421091,704.4036232761373,3.158760642493889,357.70496494491346,3.083663490904426,cortex,85
46.0,0.5411764705882353,7.0,0.30434782608695654,0.03159510000000001,0.00067610579700841,217.54243259731476,2.559322736438997,33.104283221330505,1.4393166617969788,cortex,86
17.0,0.53125,2.0,0.2857142857142857,0.0009855,2.1088784746741993e-05,78.29843679473834,2.446826149835573,9.211580799380982,1.315940114197283,cortex,89
286.0,0.6203904555314533,136.0,0.5690376569037657,0.1750925,0.0037468168881470546,1291.4529297016113,2.8014163334091347,614.117477060906,2.5695291927234565,cortex,90
1.0,0.14285714285714285,1.0,0.25,0.0,0.0,4.323520383236847,0.6176457690338352,4.323520383236847,1.0808800958092117,cortex,91
21.0,0.5526315789473685,10.0,0.7142857142857143,0.0,0.0,90.65596062941138,2.3856831744581948,43.16950506162447,3.0835360758303194,cortex,93
10.0,0.625,3.0,1.0,0.0022395,4.792322013224626e-05,44.53251987263699,2.783282492039812,13.359755961791098,4.453251987263699,cortex,95
6.0,0.3333333333333333,,,,,18.53865928416057,1.0299255157866982,,,cortex,108
11.0,0.5789473684210527,,,,,35.80251333643622,1.8843428071808537,,,cortex,110
5.0,0.4166666666666667,,,,,16.231763613580142,1.3526469677983455,,,cortex,111
45.0,0.625,,,,,140.09177567882247,1.9457191066503123,,,cortex,112
48.0,0.6153846153846154,,,,,153.4826164949047,1.9677258524987784,,,cortex,113
58.0,0.6444444444444445,,,,,208.2039537212867,2.313377263569852,,,cortex,114
5.0,0.4166666666666667,,,,,17.147717295873573,1.4289764413227979,,,cortex,115
13.0,0.48148148148148145,,,,,40.8327365471838,1.512323575821622,,,cortex,116
43.0,0.5,,,,,128.02000684758175,1.4886047307858346,,,cortex,121
4.0,0.6666666666666666,,,,,12.369884279732563,2.0616473799554274,,,cortex,122
1.0,0.0021691973969631237,0.0,0.0,0.0,0.0,4.515569684271368,0.009795162004927046,0.0,0.0,hindbrain,90
1.0,0.011627906976744186,,,,,2.977209461571669,0.034618714669438014,,,hindbrain,121
0.0,0.0,,,,,0.0,0.0,,,hindbrain,108
0.0,0.0,,,,,0.0,0.0,,,hindbrain,110
0.0,0.0,,,,,0.0,0.0,,,hindbrain,111
0.0,0.0,,,,,0.0,0.0,,,hindbrain,112
0.0,0.0,,,,,0.0,0.0,,,hindbrain,113
0.0,0.0,,,,,0.0,0.0,,,hindbrain,114
0.0,0.0,,,,,0.0,0.0,,,hindbrain,115
0.0,0.0,,,,,0.0,0.0,,,hindbrain,116
0.0,0.0,,,,,0.0,0.0,,,hindbrain,122
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hindbrain,33
