spheres,spheres_rel,spheres_lesion,spheres_lesion_rel,lesion_vol,lesion_vol_rel_extrap,spheres_extrap,spheres_rel_extrap,spheres_lesion_extrap,spheres_lesion_rel_extrap,region,mouse_id
18,0.096774194,0,,,,54.96300684,0.295500037,,,thalamus,123
1,0.090909091,0,,0,0,5.240321127,0.47639283,0,,basal_ganglia,33
33,0.074157303,27,0.097472924,0.08748244,2.991216048,241.7281364,0.543209295,197.7775662,0.713998434,basal_ganglia,41
2,0.090909091,0,0,0.001381,0.031012472,9.621860868,0.437357312,0,0,basal_ganglia,83
28,0.125560538,23,0.198275862,0.0358406,0.920662626,154.0882926,0.690978891,126.5725261,1.091142466,basal_ganglia,85
15,0.176470588,10,0.434782609,0.0073487,0.162222204,70.93774976,0.834561762,47.29183317,2.05616666,basal_ganglia,86
4,0.125,1,0.142857143,0,0,18.4231616,0.5757238,4.6057904,0.657970057,basal_ganglia,89
62,0.134490239,52,0.217573222,0.1221119,2.573855539,279.9653204,0.607300044,234.8096236,0.982467044,basal_ganglia,90
1,0.142857143,1,0.25,0,0,4.323520383,0.617645769,4.323520383,1.080880096,basal_ganglia,91
3,0.078947368,0,0,0,0,12.95085152,0.340811882,0,0,basal_ganglia,93
1,0.0625,0,0,0,0,4.453251987,0.278328249,0,0,basal_ganglia,95
2,0.111111111,0,,,,6.179553095,0.343308505,,,basal_ganglia,108
16,0.094674556,0,,,,49.45109287,0.292610017,,,basal_ganglia,109
2,0.166666667,0,,,,6.492705445,0.541058787,,,basal_ganglia,111
8,0.111111111,0,,,,24.90520457,0.345905619,,,basal_ganglia,112
8,0.102564103,0,,,,25.58043608,0.327954309,,,basal_ganglia,113
2,0.022222222,0,,,,7.17944668,0.07977163,,,basal_ganglia,114
2,0.166666667,0,,,,6.859086918,0.571590577,,,basal_ganglia,115
2,0.074074074,0,,,,6.281959469,0.232665166,,,basal_ganglia,116
6,0.069767442,0,,,,17.86325677,0.207712288,,,basal_ganglia,121
26,0.139784946,0,,,,79.39100988,0.426833386,,,basal_ganglia,123
39,0.087640449,17,0.061371841,0.03234532,0.438277805,285.6787067,0.641974622,124.5266157,0.449554569,brainstem,41
17,0.076233184,5,0.043103448,0.0034235,0.034850315,93.55360622,0.419522898,27.51576653,0.237204884,brainstem,85
7,0.082352941,0,0,0,0,33.10428322,0.389462156,0,0,brainstem,86
1,0.03125,0,0,0,0,4.6057904,0.14393095,0,0,brainstem,89
22,0.047722343,8,0.033472803,0.003437,0.028708919,99.34253305,0.215493564,36.12455747,0.151148776,brainstem,90
1,0.142857143,1,0.25,0,0,4.323520383,0.617645769,4.323520383,1.080880096,brainstem,91
1,0.026315789,1,0.071428571,0,0,4.316950506,0.113603961,4.316950506,0.308353608,brainstem,93
1,0.055555556,0,,,,3.089776547,0.171654253,,,brainstem,108
7,0.041420118,0,,,,21.63485313,0.128016882,,,brainstem,109
1,0.052631579,0,,,,3.25477394,0.171303892,,,brainstem,110
1,0.083333333,0,,,,3.246352723,0.270529394,,,brainstem,111
1,0.013888889,0,,,,3.113150571,0.043238202,,,brainstem,112
3,0.038461538,0,,,,9.592663531,0.122982866,,,brainstem,113
4,0.148148148,0,,,,12.56391894,0.465330331,,,brainstem,116
20,0.23255814,0,,,,59.54418923,0.692374293,,,brainstem,121
12,0.064516129,0,,,,36.64200456,0.197000025,,,brainstem,123
2,0.181818182,0,,0,0,10.48064225,0.952785659,0,,other,33
1,0.25,0,,0,0,5.503577325,1.375894331,0,,other,38
46,0.103370787,16,0.057761733,0.0239542,0.153793719,336.954372,0.757200836,117.2015207,0.423110183,other,41
1,0.045454545,0,0,0,0,4.810930434,0.218678656,0,0,other,83
25,0.112107623,9,0.077586207,0.0059608,0.028751455,137.5788327,0.616945438,49.52837976,0.426968791,other,85
12,0.141176471,4,0.173913043,0.0035373,0.014662287,56.75019981,0.66764941,18.91673327,0.822466664,other,86
5,0.15625,2,0.285714286,0.0053005,0.021397581,23.028952,0.71965475,9.211580799,1.315940114,other,89
53,0.114967462,21,0.087866109,0.048372,0.191447746,239.3251933,0.519143586,94.82696337,0.396765537,other,90
