spheres,spheres_rel,spheres_lesion,spheres_lesion_rel,lesion_vol,lesion_vol_rel_extrap,spheres_extrap,spheres_rel_extrap,spheres_lesion_extrap,spheres_lesion_rel_extrap,region,mouse_id
8,0.102564103,0,,,,25.58043608,0.327954309,,,thalamus,113
8,0.088888889,0,,,,28.71778672,0.319086519,,,thalamus,114
1,0.083333333,0,,,,3.429543459,0.285795288,,,thalamus,115
2,0.074074074,0,,,,6.281959469,0.232665166,,,thalamus,116
10,0.11627907,0,,,,29.77209462,0.346187147,,,thalamus,121
1,0.166666667,0,,,,3.09247107,0.515411845,,,thalamus,122
18,0.096774194,0,,,,54.96300684,0.295500037,,,thalamus,123
1,0.090909091,0,,0,0,5.240321127,0.47639283,0,,neocortex,33
1,0.25,0,,0,0,5.503577325,1.375894331,0,,neocortex,38
156,0.350561798,115,0.415162455,0.16203772,2.200497406,1142.714827,2.567898487,842.38593,3.04110444,neocortex,41
6,0.272727273,0,0,0.0043021,0.038370817,28.8655826,1.312071937,0,0,neocortex,83
77,0.34529148,43,0.370689655,0.0392133,0.400070452,423.7428046,1.900191949,236.6355922,2.039962002,neocortex,85
29,0.341176471,6,0.260869565,0.0004647,0.004074275,137.1463162,1.613486073,28.3750999,1.233699996,neocortex,86
16,0.5,2,0.285714286,0,0,73.6926464,2.3028952,9.211580799,1.315940114,neocortex,89
208,0.451193059,112,0.468619247,0.1473409,1.233466447,939.2384943,2.037393697,505.7438046,2.116082865,neocortex,90
1,0.142857143,1,0.25,0,0,4.323520383,0.617645769,4.323520383,1.080880096,neocortex,91
10,0.263157895,6,0.428571429,0,0,43.16950506,1.136039607,25.90170304,1.850121645,neocortex,93
5,0.3125,2,0.666666667,0,0,22.26625994,1.391641246,8.906503975,2.968834658,neocortex,95
5,0.277777778,0,,,,15.44888274,0.858271263,,,neocortex,108
79,0.467455621,0,,,,244.164771,1.444761959,,,neocortex,109
10,0.526315789,0,,,,32.5477394,1.713038916,,,neocortex,110
2,0.166666667,0,,,,6.492705445,0.541058787,,,neocortex,111
32,0.444444444,0,,,,99.62081826,1.383622476,,,neocortex,112
28,0.358974359,0,,,,89.53152629,1.147840081,,,neocortex,113
31,0.344444444,0,,,,111.2814235,1.236460262,,,neocortex,114
4,0.333333333,0,,,,13.71817384,1.143181153,,,neocortex,115
8,0.296296296,0,,,,25.12783788,0.930660662,,,neocortex,116
22,0.255813953,0,,,,65.49860815,0.761611723,,,neocortex,121
2,0.333333333,0,,,,6.18494214,1.03082369,,,neocortex,122
63,0.338709677,0,,,,192.370524,1.034250129,,,neocortex,123
4,0.363636364,0,,0,0,20.96128451,1.905571319,0,,other,33
1,0.25,0,,0,0,5.503577325,1.375894331,0,,other,38
110,0.247191011,53,0.19133574,0.08664004,0.439171053,805.7604547,1.810697651,388.2300373,1.401552481,other,41
2,0.090909091,0,0,0.001381,0.00459753,9.621860868,0.437357312,0,0,other,83
64,0.286995516,26,0.224137931,0.0115699,0.04405985,352.2018116,1.579380321,143.081986,1.233465396,other,85
28,0.329411765,4,0.173913043,0.0017432,0.005704731,132.4171329,1.557848622,18.91673327,0.822466664,other,86
7,0.21875,2,0.285714286,0,0,32.2405328,1.00751665,9.211580799,1.315940114,other,89
102,0.221258134,41,0.171548117,0.0609846,0.190561221,460.5881078,0.999106525,185.1383571,0.774637477,other,90
3,0.428571429,2,0.5,0,0,12.97056115,1.852937307,8.647040766,2.161760192,other,91
11,0.289473684,4,0.285714286,0,0,47.48645557,1.249643568,17.26780202,1.23341443,other,93
4,0.25,0,0,0,0,17.81300795,1.113312997,0,0,other,95
4,0.222222222,0,,,,12.35910619,0.686617011,,,other,108
28,0.165680473,0,,,,86.53941252,0.51206753,,,other,109
7,0.368421053,0,,,,22.78341758,1.199127241,,,other,110
1,0.083333333,0,,,,3.246352723,0.270529394,,,other,111
5,0.069444444,0,,,,15.56575285,0.216191012,,,other,112
11,0.141025641,0,,,,35.17309961,0.450937175,,,other,113
20,0.222222222,0,,,,71.7944668,0.797716298,,,other,114
3,0.25,0,,,,10.28863038,0.857385865,,,other,115
7,0.259259259,0,,,,21.98685814,0.814328079,,,other,116
30,0.348837209,0,,,,89.31628385,1.03856144,,,other,121
28,0.150537634,0,,,,85.49801064,0.459666724,,,other,123
