,spheres,lesion
94,201.355,0.062957
93,164.044,0.047821
91,30.2646,0.076151
95,71.252,0.143524
90,2081.68,2.19123
89,147.385,0.18507
86,401.981,0.316203
85,1227.2,1.021
83,105.84,0.224347
33,57.6435,0
41,3259.67,3.32024
63,4564.95,4.32434
69,3787.27,5.5928
