spheres,spheres_rel,spheres_lesion,spheres_lesion_rel,lesion_vol,lesion_vol_rel,spheres_extrap,spheres_rel_extrap,spheres_lesion_extrap,spheres_lesion_rel_extrap,region,mouse_id
1.0,0.09090909090909091,0.0,0.0,0.0,0.0,5.240321126878655,0.4763928297162414,0.0,0.0,ca1,33
16.0,0.035955056179775284,9.0,0.032490974729241874,0.014902080000000002,0.006370588235294118,117.20152068973096,0.2633742037971482,65.92585538797366,0.23799947793492293,ca1,41
3.0,0.13636363636363635,0.0,0.0,0.0077588,0.003316860465116279,14.432791301837776,0.6560359682653534,0.0,0.0,ca1,83
3.0,0.013452914798206279,0.0,0.0,0.00033120000000000003,0.0001415868673050616,16.509459920534468,0.07403345255845054,0.0,0.0,ca1,85
2.0,0.023529411764705882,0.0,0.0,0.0049887,0.00213265218878249,9.45836663466586,0.11127490158430423,0.0,0.0,ca1,86
0.0,0.0,0.0,0.0,0.0009855,0.0004212978796169631,0.0,0.0,0.0,0.0,ca1,89
2.0,0.004338394793926247,1.0,0.0041841004184100415,0.0016822,0.0007191347469220246,9.031139368542735,0.019590324009854092,4.515569684271368,0.01889359700531953,ca1,90
1.0,0.02631578947368421,0.0,0.0,0.0,0.0,4.316950506162447,0.11360396068848544,0.0,0.0,ca1,93
1.0,0.0625,0.0,0.0,0.0,0.0,4.453251987263699,0.2783282492039812,0.0,0.0,ca1,95
3.0,0.041666666666666664,,,,,9.339451711921498,0.1297146071100208,,,ca1,112
3.0,0.038461538461538464,,,,,9.592663530931544,0.12298286578117365,,,ca1,113
4.0,0.044444444444444446,,,,,14.358893360088738,0.15954325955654153,,,ca1,114
1.0,0.16666666666666666,,,,,3.092471069933141,0.5154118449888568,,,ca1,122
0.0,0.0,,,,,0.0,0.0,,,ca1,108
0.0,0.0,,,,,0.0,0.0,,,ca1,110
0.0,0.0,,,,,0.0,0.0,,,ca1,111
0.0,0.0,,,,,0.0,0.0,,,ca1,115
0.0,0.0,,,,,0.0,0.0,,,ca1,116
0.0,0.0,,,,,0.0,0.0,,,ca1,121
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ca1,91
2.0,0.0044943820224719105,2.0,0.007220216606498195,0.00489228,0.034452676056338026,14.65019008621637,0.032921775474643526,14.65019008621637,0.05288877287442732,ca2,41
1.0,0.004484304932735426,0.0,0.0,0.0,0.0,5.503153306844823,0.02467781751948351,0.0,0.0,ca2,85
1.0,0.05555555555555555,,,,,3.089776547360095,0.1716542526311164,,,ca2,108
2.0,0.027777777777777776,,,,,6.226301141280999,0.08647640474001388,,,ca2,112
1.0,0.01282051282051282,,,,,3.1975545103105145,0.040994288593724545,,,ca2,113
1.0,0.037037037037037035,,,,,3.1409797343987536,0.1163325827555094,,,ca2,116
1.0,0.011627906976744186,,,,,2.977209461571669,0.034618714669438014,,,ca2,121
0.0,0.0,,,,,0.0,0.0,,,ca2,110
0.0,0.0,,,,,0.0,0.0,,,ca2,111
0.0,0.0,,,,,0.0,0.0,,,ca2,114
0.0,0.0,,,,,0.0,0.0,,,ca2,115
0.0,0.0,,,,,0.0,0.0,,,ca2,122
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ca2,33
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ca2,83
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ca2,86
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ca2,89
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ca2,90
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ca2,91
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ca2,93
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ca2,95
1.0,0.09090909090909091,0.0,0.0,0.0,0.0,5.240321126878655,0.4763928297162414,0.0,0.0,ca3,33
24.0,0.05393258426966292,20.0,0.07220216606498195,0.03079376,0.021907131931846475,175.80228103459643,0.3950613056957223,146.5019008621637,0.5288877287442733,ca3,41
2.0,0.09090909090909091,0.0,0.0,0.012763900000000002,0.00908042542595952,9.62186086789185,0.4373573121769023,0.0,0.0,ca3,83
7.0,0.03139013452914798,1.0,0.008620689655172414,0.0,0.0,38.52207314791376,0.17274472263638457,5.503153306844823,0.047440976783145024,ca3,85
1.0,0.011764705882352941,0.0,0.0,0.005574,0.003965425248105859,4.72918331733293,0.05563745079215211,0.0,0.0,ca3,86
18.0,0.039045553145336226,7.0,0.029288702928870293,0.0096874,0.006891758261302601,81.28025431688462,0.17631291608868682,31.608987789899576,0.13225517903723671,ca3,90
2.0,0.05263157894736842,1.0,0.07142857142857142,0.0,0.0,8.633901012324895,0.22720792137697088,4.316950506162447,0.30835360758303193,ca3,93
1.0,0.0625,0.0,0.0,0.0,0.0,4.453251987263699,0.2783282492039812,0.0,0.0,ca3,95
7.0,0.09722222222222222,,,,,21.792053994483496,0.3026674165900486,,,ca3,112
14.0,0.1794871794871795,,,,,44.765763144347204,0.5739200403121436,,,ca3,113
7.0,0.07777777777777778,,,,,25.12806338015529,0.27920070422394766,,,ca3,114
1.0,0.037037037037037035,,,,,3.1409797343987536,0.1163325827555094,,,ca3,116
4.0,0.046511627906976744,,,,,11.908837846286676,0.13847485867775206,,,ca3,121
0.0,0.0,,,,,0.0,0.0,,,ca3,108
0.0,0.0,,,,,0.0,0.0,,,ca3,110
